timestamp,b1_kecepatan_arus,b1_arah_arus,b1_wave_intensity,b2_kecepatan_arus,b2_arah_arus,b2_wave_intensity,b3_kecepatan_arus,b3_arah_arus,b3_wave_intensity,label
2026-04-01 08:00:00,0.3,103.02,1.5069,0.7812,179.11,1.6449,0.3,95.9,1.5385,Danger
2026-04-01 08:00:05,0.1399,251.25,0.577,0.0903,268.44,0.9392,0.2099,281.5,0.5447,Safe
2026-04-01 08:00:10,0.5274,300.45,3.6925,1.2456,154.59,3.0677,0.3748,265.51,2.4222,Danger
2026-04-01 08:00:15,0.01,111.06,0.4129,0.0631,94.47,0.2453,0.0459,84.39,0.4729,Safe
2026-04-01 08:00:20,1.0174,334.99,4.4184,0.9494,111.23,3.9822,0.8804,348.82,5.0873,Danger
2026-04-01 08:00:25,0.1832,222.16,0.7659,0.1763,276.94,0.1932,0.203,266.95,0.4114,Safe
2026-04-01 08:00:30,0.2201,76.51,0.5005,0.2213,88.0,0.6147,0.2909,124.14,0.4306,Safe
2026-04-01 08:00:35,0.3,127.43,1.7825,0.7217,158.85,2.5206,0.3,110.76,1.4462,Danger
2026-04-01 08:00:40,0.2364,98.52,0.4368,0.2507,116.97,0.6283,0.2622,104.24,0.4862,Safe
2026-04-01 08:00:45,0.3,248.73,0.9795,0.7063,181.65,1.7437,0.3,279.84,1.0981,Danger
2026-04-01 08:00:50,0.3,83.71,0.9289,1.0163,184.27,2.9383,0.3653,106.28,0.6383,Danger
2026-04-01 08:00:55,0.1355,216.81,0.6824,0.0252,258.72,0.0888,0.1001,198.64,0.754,Safe
2026-04-01 08:01:00,0.1235,266.38,0.7859,0.1172,236.32,0.7294,0.1179,256.26,0.3607,Safe
2026-04-01 08:01:05,0.3554,79.12,4.1941,0.9698,153.69,4.1313,0.315,76.52,3.0162,Danger
2026-04-01 08:01:10,0.3732,92.58,4.5493,1.0038,182.42,4.0464,0.3041,62.03,3.9987,Danger
2026-04-01 08:01:15,0.1567,265.26,0.634,0.1235,270.22,0.5046,0.2233,246.71,0.5948,Safe
2026-04-01 08:01:20,0.2562,54.58,0.9308,0.1613,75.93,0.425,0.2739,102.84,0.2406,Safe
2026-04-01 08:01:25,0.138,79.28,0.9133,0.0953,96.5,0.4078,0.1109,92.23,0.613,Safe
2026-04-01 08:01:30,0.3764,89.13,1.156,1.3625,178.94,2.1587,0.3764,101.5,1.6082,Danger
2026-04-01 08:01:35,0.3,257.68,1.2616,0.7671,190.96,1.8069,0.3,257.13,1.6432,Danger
2026-04-01 08:01:40,0.1368,288.95,0.8905,0.2138,305.45,0.6718,0.1949,262.03,0.4409,Safe
2026-04-01 08:01:45,0.2136,247.14,0.1502,0.2358,286.4,0.7931,0.2398,268.71,0.3983,Safe
2026-04-01 08:01:50,0.171,254.9,0.8077,0.1641,254.84,0.498,0.2382,241.78,0.4453,Safe
2026-04-01 08:01:55,0.3,273.57,1.2813,0.9249,185.31,2.5362,0.3,284.58,1.6332,Danger
2026-04-01 08:02:00,0.2625,83.0,0.7058,0.3144,79.13,0.4189,0.2748,58.9,0.1914,Safe
2026-04-01 08:02:05,0.4369,268.1,1.7127,1.057,180.73,2.6833,0.3,269.63,1.7835,Danger
2026-04-01 08:02:10,1.1365,70.55,5.2521,1.2863,80.34,4.4594,1.1706,32.72,3.9746,Danger
2026-04-01 08:02:15,0.2459,296.02,0.05,0.2812,278.04,0.558,0.2984,239.47,0.1103,Safe
2026-04-01 08:02:20,0.1856,90.56,0.5927,0.1103,88.1,0.1377,0.1626,90.7,0.702,Safe
2026-04-01 08:02:25,0.2299,77.59,0.2651,0.2613,95.87,0.5785,0.246,96.53,0.3293,Safe
2026-04-01 08:02:30,0.2464,280.21,0.372,0.2392,288.78,0.4958,0.2303,257.57,0.9137,Safe
2026-04-01 08:02:35,0.3,235.83,2.6131,0.7883,216.54,4.3543,0.3,266.89,2.8099,Danger
2026-04-01 08:02:40,0.2033,277.68,0.076,0.2133,260.92,0.2746,0.2921,288.34,0.252,Safe
2026-04-01 08:02:45,0.3756,49.52,1.5134,1.1487,174.08,2.4362,0.3,100.44,0.7991,Danger
2026-04-01 08:02:50,0.178,91.45,0.3784,0.1584,93.75,0.9533,0.1547,62.29,0.3415,Safe
2026-04-01 08:02:55,0.1245,272.31,0.2728,0.1536,269.4,0.797,0.0844,276.43,0.6115,Safe
2026-04-01 08:03:00,0.3509,269.86,2.3595,1.1318,182.16,4.7874,0.3738,258.9,3.9375,Danger
2026-04-01 08:03:05,0.1021,291.08,0.2987,0.1053,262.34,0.9103,0.0607,249.19,0.4232,Safe
2026-04-01 08:03:10,0.0399,245.43,0.8989,0.1072,275.28,0.7974,0.0381,303.83,0.4426,Safe
2026-04-01 08:03:15,0.2041,284.22,0.4407,0.2794,280.4,0.6783,0.2776,309.16,0.05,Safe
2026-04-01 08:03:20,0.294,242.38,0.9044,0.3327,261.59,0.5432,0.2382,297.25,0.5663,Safe
2026-04-01 08:03:25,0.182,256.99,0.621,0.183,290.87,0.3577,0.1526,287.36,0.7437,Safe
2026-04-01 08:03:30,0.2833,91.66,0.4085,0.262,75.44,0.3531,0.2701,124.96,0.8049,Safe
2026-04-01 08:03:35,0.1621,265.38,0.6756,0.164,269.07,0.2129,0.1578,260.05,0.912,Safe
2026-04-01 08:03:40,1.3411,92.33,4.6628,1.0439,66.05,4.6943,1.1016,61.45,3.7144,Danger
2026-04-01 08:03:45,0.3198,93.93,1.9035,0.6568,194.37,2.0791,0.3079,105.31,1.1596,Danger
2026-04-01 08:03:50,0.5069,108.5,2.754,1.2796,172.59,3.464,0.5702,139.99,4.2048,Danger
2026-04-01 08:03:55,0.182,279.65,0.8674,0.1376,234.33,0.3634,0.1312,265.14,0.8625,Safe
2026-04-01 08:04:00,0.4767,101.45,2.699,1.0965,203.46,4.0507,0.3359,85.8,4.3075,Danger
2026-04-01 08:04:05,0.3,260.39,1.835,1.1289,182.03,1.413,0.3457,288.79,1.465,Danger
2026-04-01 08:04:10,0.1988,247.14,0.05,0.2021,255.33,0.8241,0.2108,267.23,0.537,Safe
2026-04-01 08:04:15,0.324,272.11,1.6309,1.1386,168.36,2.62,0.3229,293.31,1.2979,Danger
2026-04-01 08:04:20,0.2553,48.28,0.3898,0.255,86.26,0.775,0.2201,85.22,0.2629,Safe
2026-04-01 08:04:25,0.3207,62.74,0.9,1.0639,173.03,2.1684,0.312,57.98,1.2073,Danger
2026-04-01 08:04:30,0.1793,258.65,0.3282,0.1545,303.29,0.6918,0.1918,301.24,0.5556,Safe
2026-04-01 08:04:35,0.3,72.09,1.6544,0.5473,197.73,2.4056,0.3,98.0,1.1675,Danger
2026-04-01 08:04:40,0.1469,253.16,0.05,0.1282,261.12,0.4978,0.0932,256.03,0.5911,Safe
2026-04-01 08:04:45,0.1995,84.07,0.7425,0.1794,119.48,0.8729,0.2041,81.17,0.8359,Safe
2026-04-01 08:04:50,0.7896,303.69,4.3592,0.6412,328.14,2.8176,0.7659,310.33,3.0007,Danger
2026-04-01 08:04:55,0.2433,279.46,0.3846,0.2392,282.33,0.1656,0.2091,262.0,0.0792,Safe
2026-04-01 08:05:00,0.2921,258.45,0.9143,0.2908,307.34,0.6004,0.2271,262.15,0.4748,Safe
2026-04-01 08:05:05,0.1272,72.73,0.1736,0.2134,114.86,0.2771,0.2209,116.85,0.5601,Safe
2026-04-01 08:05:10,0.2398,274.53,0.322,0.2015,265.45,0.6934,0.1841,263.79,0.5824,Safe
2026-04-01 08:05:15,0.1194,75.43,0.0566,0.0988,70.17,0.167,0.1429,103.79,0.3307,Safe
2026-04-01 08:05:20,0.156,90.01,0.7149,0.1888,93.17,0.2564,0.1608,76.45,0.2681,Safe
2026-04-01 08:05:25,0.2615,83.51,0.3391,0.193,84.71,0.5658,0.2171,103.36,0.6988,Safe
2026-04-01 08:05:30,0.0937,110.65,0.1205,0.112,83.76,0.2131,0.1205,84.34,0.1546,Safe
2026-04-01 08:05:35,0.1369,69.91,0.4688,0.1965,76.74,0.5456,0.1666,119.9,0.17,Safe
2026-04-01 08:05:40,0.3,108.96,1.6724,0.4531,177.36,2.041,0.3,105.58,1.7585,Danger
2026-04-01 08:05:45,0.0841,273.18,0.2248,0.0882,293.12,0.4959,0.0704,257.83,0.3112,Safe
2026-04-01 08:05:50,0.3,257.03,1.0656,0.6728,177.13,2.4098,0.3,252.08,2.1141,Danger
2026-04-01 08:05:55,0.3,58.27,1.6069,1.0021,159.03,1.3785,0.3,109.05,1.1792,Danger
2026-04-01 08:06:00,0.3832,59.3,0.8897,1.09,198.44,2.4382,0.3903,79.36,1.1124,Danger
2026-04-01 08:06:05,0.4875,76.15,2.4038,1.2573,189.11,3.0276,0.482,130.92,4.5608,Danger
2026-04-01 08:06:10,0.1588,269.82,0.5747,0.1157,272.46,0.0516,0.1435,284.19,0.767,Safe
2026-04-01 08:06:15,0.2132,275.98,0.5799,0.1921,282.71,0.6307,0.1571,262.71,0.5645,Safe
2026-04-01 08:06:20,0.8076,19.02,5.7687,0.7641,93.59,3.1216,0.8821,358.02,4.0628,Danger
